system:index,date,path,row,sat,.geo
1_1_LT05_119038_20000121,2000-01-21,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000129,2000-01-29,119.0,38.0,LANDSAT_7,
1_1_LT05_118038_20000130,2000-01-30,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_20000206,2000-02-06,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000214,2000-02-14,119.0,38.0,LANDSAT_7,
1_1_LT05_118038_20000215,2000-02-15,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_20000222,2000-02-22,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000301,2000-03-01,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20000309,2000-03-09,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000317,2000-03-17,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20000325,2000-03-25,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_20000410,2000-04-10,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000418,2000-04-18,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20000426,2000-04-26,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000504,2000-05-04,119.0,38.0,LANDSAT_7,
1_1_LT05_118038_20000505,2000-05-05,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_20000512,2000-05-12,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000520,2000-05-20,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20000528,2000-05-28,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000605,2000-06-05,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20000613,2000-06-13,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_20000629,2000-06-29,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000707,2000-07-07,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20000715,2000-07-15,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000723,2000-07-23,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20000731,2000-07-31,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000808,2000-08-08,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20000816,2000-08-16,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_20000901,2000-09-01,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000909,2000-09-09,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20000917,2000-09-17,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20000925,2000-09-25,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20001011,2000-10-11,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20001104,2000-11-04,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20001112,2000-11-12,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20001120,2000-11-20,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20001128,2000-11-28,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20001206,2000-12-06,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20001214,2000-12-14,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20001222,2000-12-22,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_20010107,2001-01-07,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20010115,2001-01-15,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20010208,2001-02-08,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20010216,2001-02-16,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20010304,2001-03-04,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20010312,2001-03-12,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20010320,2001-03-20,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20010328,2001-03-28,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20010405,2001-04-05,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20010413,2001-04-13,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_20010515,2001-05-15,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20010523,2001-05-23,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20010531,2001-05-31,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20010608,2001-06-08,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20010616,2001-06-16,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_20010702,2001-07-02,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20010710,2001-07-10,119.0,38.0,LANDSAT_7,
1_1_LT05_118038_20010711,2001-07-11,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_20010718,2001-07-18,119.0,38.0,LANDSAT_5,
1_2_LE07_118038_20010719,2001-07-19,118.0,38.0,LANDSAT_7,
1_2_LE07_119038_20010726,2001-07-26,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20010803,2001-08-03,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_20010819,2001-08-19,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20010827,2001-08-27,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20010904,2001-09-04,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20010912,2001-09-12,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20010928,2001-09-28,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20011014,2001-10-14,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20011030,2001-10-30,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20011107,2001-11-07,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20011115,2001-11-15,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20011123,2001-11-23,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20020102,2002-01-02,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20020110,2002-01-10,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_20020119,2002-01-19,118.0,38.0,LANDSAT_5,
1_2_LE07_119038_20020203,2002-02-03,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20020211,2002-02-11,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20020219,2002-02-19,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20020307,2002-03-07,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20020315,2002-03-15,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20020323,2002-03-23,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20020408,2002-04-08,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20020526,2002-05-26,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20020611,2002-06-11,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20020713,2002-07-13,119.0,38.0,LANDSAT_7,
1_1_LT05_118038_20020714,2002-07-14,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_20020721,2002-07-21,119.0,38.0,LANDSAT_5,
1_1_LT05_118038_20020730,2002-07-30,118.0,38.0,LANDSAT_5,
1_2_LE07_119038_20020814,2002-08-14,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20020822,2002-08-22,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20020830,2002-08-30,119.0,38.0,LANDSAT_7,
1_1_LT05_118038_20020831,2002-08-31,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_20020923,2002-09-23,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20021001,2002-10-01,119.0,38.0,LANDSAT_7,
1_1_LT05_118038_20021002,2002-10-02,118.0,38.0,LANDSAT_5,
1_1_LT05_119038_20021009,2002-10-09,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20021017,2002-10-17,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20021025,2002-10-25,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20021102,2002-11-02,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20021110,2002-11-10,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20021118,2002-11-18,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20021204,2002-12-04,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20030105,2003-01-05,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20030113,2003-01-13,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20030121,2003-01-21,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20030129,2003-01-29,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20030206,2003-02-06,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20030302,2003-03-02,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20030310,2003-03-10,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20030318,2003-03-18,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20030326,2003-03-26,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20030403,2003-04-03,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20030427,2003-04-27,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20030606,2003-06-06,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_20030708,2003-07-08,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_20030724,2003-07-24,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20030801,2003-08-01,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20030926,2003-09-26,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20031020,2003-10-20,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20031028,2003-10-28,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20031105,2003-11-05,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20031113,2003-11-13,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20031121,2003-11-21,119.0,38.0,LANDSAT_7,
1_1_LT05_118038_20031122,2003-11-22,118.0,38.0,LANDSAT_5,
1_2_LE07_119038_20031207,2003-12-07,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20031215,2003-12-15,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20031223,2003-12-23,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20040124,2004-01-24,119.0,38.0,LANDSAT_7,
1_2_LE07_119038_20040209,2004-02-09,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20040217,2004-02-17,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20040225,2004-02-25,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20040304,2004-03-04,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20040328,2004-03-28,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20040405,2004-04-05,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20040429,2004-04-29,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20040507,2004-05-07,119.0,38.0,LANDSAT_5,
1_1_LT05_119038_20040523,2004-05-23,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20040531,2004-05-31,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20040608,2004-06-08,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20040702,2004-07-02,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20040710,2004-07-10,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20040718,2004-07-18,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20040726,2004-07-26,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20040803,2004-08-03,119.0,38.0,LANDSAT_7,
1_1_LT05_119038_20040811,2004-08-11,119.0,38.0,LANDSAT_5,
1_2_LE07_119038_20040819,2004-08-19,119.0,38.0,LANDSAT_7,
