system:index,Name,OBJECTID,blue,green,latitude,longitude,nbr,ndvi,nir,pixel_qa,red,swir1,swir2,.geo
1_1_LT05_119038_19941206_00003df56065d95e53df_0,Changshu1,1,876,1060,31.67444365,120.7658911,0.47415885,0.37808043,2125,66,959,1366,758,
1_1_LT05_119038_19941222_00003df56065d95e53df_0,Changshu1,1,868,972,31.67444365,120.7658911,0.47559056,0.3295495,1874,66,945,1159,666,
1_1_LT05_119038_19950107_00003df56065d95e53df_0,Changshu1,1,770,886,31.67444365,120.7658911,0.33055466,0.40487474,2075,66,879,1378,1044,
1_1_LT05_119038_19950224_00003df56065d95e53df_0,Changshu1,1,1044,1161,31.67444365,120.7658911,0.44832042,0.3666565,2242,66,1039,1411,854,
1_1_LT05_119038_19950312_00003df56065d95e53df_0,Changshu1,1,1331,1558,31.67444365,120.7658911,0.37759548,0.25854802,2687,66,1583,1710,1214,
1_1_LT05_119038_19950803_00003df56065d95e53df_0,Changshu1,1,361,605,31.67444365,120.7658911,0.6964132,0.69738734,2956,66,527,1377,529,
1_1_LT05_119038_19950819_00003df56065d95e53df_0,Changshu1,1,309,570,31.67444365,120.7658911,0.6747673,0.7699454,3239,66,421,1343,629,
1_1_LT05_119038_19951107_00003df56065d95e53df_0,Changshu1,1,1819,1950,31.67444365,120.7658911,0.21193002,0.064751826,2113,66,1856,1895,1374,
1_1_LT05_119038_19951209_00003df56065d95e53df_0,Changshu1,1,783,923,31.67444365,120.7658911,0.13172042,0.17474712,1684,66,1183,1853,1292,
1_1_LT05_119038_19960110_00003df56065d95e53df_0,Changshu1,1,976,1041,31.67444365,120.7658911,0.2912505,0.1830161,1616,66,1116,1382,887,
1_1_LT05_119038_19960618_00003df56065d95e53df_0,Changshu1,1,844,994,31.67444365,120.7658911,0.5659824,0.24717788,1602,66,967,879,444,
1_1_LT05_119038_19960906_00003df56065d95e53df_0,Changshu1,1,728,802,31.67444365,120.7658911,0.626455,0.62387747,3074,66,712,1395,706,
1_1_LT05_119038_19961211_00003df56065d95e53df_0,Changshu1,1,1017,1273,31.67444365,120.7658911,0.20816326,0.19912745,1924,66,1285,1687,1261,
1_1_LT05_119038_19970128_00003df56065d95e53df_0,Changshu1,1,1161,1281,31.67444365,120.7658911,0.26380813,0.15701929,1739,66,1267,1464,1013,
1_1_LT05_119038_19970213_00003df56065d95e53df_0,Changshu1,1,734,878,31.67444365,120.7658911,0.22901554,0.30953258,1779,66,938,1501,1116,
1_1_LT05_119038_19970301_00003df56065d95e53df_0,Changshu1,1,836,973,31.67444365,120.7658911,0.4271777,0.3955707,2048,66,887,1319,822,
1_1_LT05_119038_19970504_00003df56065d95e53df_0,Changshu1,1,691,915,31.67444365,120.7658911,0.545096,0.5681879,2938,66,809,1416,865,
1_1_LT05_119038_19970605_00003df56065d95e53df_0,Changshu1,1,870,1052,31.67444365,120.7658911,0.11857708,0.29039612,2264,66,1245,2371,1784,
1_1_LT05_119038_19970723_00003df56065d95e53df_0,Changshu1,1,875,1095,31.67444365,120.7658911,0.6153229,0.6409943,4027,66,881,2118,959,
1_1_LT05_119038_19970808_00003df56065d95e53df_0,Changshu1,1,395,618,31.67444365,120.7658911,0.6457059,0.7515625,3363,66,477,1513,724,
1_1_LT05_119038_19970909_00003df56065d95e53df_0,Changshu1,1,668,787,31.67444365,120.7658911,0.6029162,0.66146094,3298,66,672,1802,817,
1_1_LT05_119038_19971011_00003df56065d95e53df_0,Changshu1,1,1054,1169,31.67444365,120.7658911,0.46191347,0.34586257,2399,66,1166,1493,883,
1_1_LT05_119038_19971027_00003df56065d95e53df_0,Changshu1,1,690,896,31.67444365,120.7658911,0.35567313,0.4173325,2306,66,948,1831,1096,
1_1_LT05_119038_19971214_00003df56065d95e53df_0,Changshu1,1,679,800,31.67444365,120.7658911,0.34567901,0.3660155,1853,66,860,1431,901,
1_1_LT05_119038_19971230_00003df56065d95e53df_0,Changshu1,1,1082,1193,31.67444365,120.7658911,0.49031296,0.28246233,2000,66,1119,1211,684,
1_1_LT05_119038_19980131_00003df56065d95e53df_0,Changshu1,1,395,819,31.67444365,120.7658911,0.41360167,0.42397764,2037,66,824,1504,845,
1_1_LT05_119038_19980421_00003df56065d95e53df_0,Changshu1,1,708,1050,31.67444365,120.7658911,0.49670273,0.48806715,2837,66,976,1568,954,
1_1_LT05_119038_19980710_00003df56065d95e53df_0,Changshu1,1,456,705,31.67444365,120.7658911,0.5387315,0.6540016,3069,66,642,1663,920,
1_1_LT05_119038_19980811_00003df56065d95e53df_0,Changshu1,1,424,673,31.67444365,120.7658911,0.64769405,0.7380161,3662,66,552,1793,783,
1_1_LT05_119038_19981030_00003df56065d95e53df_0,Changshu1,1,1308,1423,31.67444365,120.7658911,0.29765546,0.28944036,2546,66,1403,2034,1378,
1_1_LT05_119038_19981115_00003df56065d95e53df_0,Changshu1,1,768,970,31.67444365,120.7658911,0.33006802,0.42882198,2444,66,977,1877,1231,
1_1_LT05_119038_19981217_00003df56065d95e53df_0,Changshu1,1,804,983,31.67444365,120.7658911,0.43942994,0.4610233,2727,66,1006,1575,1062,
1_1_LT05_119038_19990203_00003df56065d95e53df_0,Changshu1,1,601,831,31.67444365,120.7658911,0.48135594,0.50603104,2622,66,860,1427,918,
1_2_LE07_119038_19990923_00003df56065d95e53df_0,Changshu1,1,396,630,31.67444365,120.7658911,0.536809,0.6779176,2933,66,563,1558,884,
1_1_LT05_119038_19991102_00003df56065d95e53df_0,Changshu1,1,910,1001,31.67444365,120.7658911,0.37566844,0.3503937,2058,66,990,1638,934,
1_2_LE07_119038_19991212_00003df56065d95e53df_0,Changshu1,1,635,849,31.67444365,120.7658911,0.3941019,0.437788,2340,66,915,1661,1017,
1_1_LT05_119038_19991220_00003df56065d95e53df_0,Changshu1,1,667,939,31.67444365,120.7658911,0.34147727,0.4231465,2361,66,957,1895,1159,
1_2_LE07_119038_19991228_00003df56065d95e53df_0,Changshu1,1,1138,1214,31.67444365,120.7658911,0.31113225,0.2496977,2067,66,1241,1585,1086,
1_1_LT05_119038_20000105_00003df56065d95e53df_0,Changshu1,1,2287,2304,31.67444365,120.7658911,0.3433075,0.044453677,2514,66,2300,1887,1229,
1_1_LT05_119038_20000121_00003df56065d95e53df_0,Changshu1,1,702,1019,31.67444365,120.7658911,0.4815427,0.44220972,2689,66,1040,1690,941,
1_1_LT05_119038_20000222_00003df56065d95e53df_0,Changshu1,1,831,1120,31.67444365,120.7658911,0.5121951,0.41033974,2387,66,998,1488,770,
1_2_LE07_119038_20000317_00003df56065d95e53df_0,Changshu1,1,710,955,31.67444365,120.7658911,0.49050796,0.51855725,2905,66,921,1601,993,
1_2_LE07_119038_20000418_00003df56065d95e53df_0,Changshu1,1,593,991,31.67444365,120.7658911,0.5794433,0.5948108,3688,66,937,1573,982,
1_1_LT05_119038_20000426_00003df56065d95e53df_0,Changshu1,1,1281,1676,31.67444365,120.7658911,0.3767402,0.30438313,3214,66,1714,2014,1455,
1_2_LE07_119038_20000504_00003df56065d95e53df_0,Changshu1,1,776,1079,31.67444365,120.7658911,0.5172249,0.5201342,3171,66,1001,1538,1009,
